Symbol,Timeframe,Return%,Sharpe,MaxDD%,WinRate%,PF,#Trades
BTCUSDT,1h,-26.18,-0.45,-46.45,30.89,0.97,2308
BTCUSDT,4h,142.83,0.79,-29.61,36.22,1.22,900
ETHUSDT,1h,-58.19,-0.71,-70.27,32.71,0.96,3662
ETHUSDT,4h,92.72,0.4,-42.38,36.38,1.15,896
SOLUSDT,1h,-85.21,-1.27,-93.46,34.94,0.94,3560
SOLUSDT,4h,338.4,0.5,-51.14,37.62,1.22,864
BNBUSDT,1h,-88.9,-2.7,-90.99,34.55,0.84,3673
BNBUSDT,4h,9.79,0.08,-48.93,38.44,1.05,913
ADAUSDT,4h,84.05,0.21,-56.44,36.6,1.15,877
DOGEUSDT,4h,30.04,0.12,-77.42,37.67,1.08,892
