avg_return,avg_sharpe,avg_win_rate,avg_profit_factor,avg_max_drawdown,consistency_rate,moon_dev_score,kama_length,atr_period,base_multiplier,fast_length,slow_length,adaptive_strength,stop_loss_percent
23.24212986481866,0.04838680557011483,35.3045984629833,1.122121436944083,57.247176247988726,50.0,0,20,28,2.5,15,50,1.0,5.0
24.230536212714945,0.02991691806515993,34.75453221805604,1.1301107067784932,58.996059673907396,50.0,0,15,28,3.0,15,50,1.0,5.0
16.699455901551893,-0.012849630893353786,35.45329519123861,1.091773915490271,60.48036886816101,50.0,0,15,28,2.5,15,50,1.0,5.0
45.55442688736599,-0.015231223048984915,33.78067993442532,1.1600886916253033,60.326001999040386,60.0,0,30,28,3.0,15,50,1.0,5.0
17.040416362365328,-0.020631124009842634,35.49657468292072,1.0972541560469704,60.540820410671174,50.0,0,25,28,2.5,15,50,1.0,5.0
39.78598192893044,-0.02961111573758731,34.025277784973994,1.1452301325735723,61.09662691082728,60.0,0,25,28,3.0,15,50,1.0,5.0
15.329119568018601,-0.030677426088592575,35.9329236870823,1.0818815591328441,63.1971280215359,50.0,0,30,21,2.0,15,50,1.0,5.0
23.053911296977617,-0.033240898489769424,34.07909177082038,1.1139450180506025,62.263866459898125,60.0,0,20,28,3.0,15,50,1.0,5.0
10.083558701516958,-0.045859250193558646,36.473943037523796,1.0719785708960792,60.993940066824486,60.0,0,30,28,2.0,15,50,1.0,5.0
24.008114676250198,-0.051667035066607504,35.34567465314901,1.102226216320419,61.20203975309805,50.0,0,30,28,2.5,15,50,1.0,5.0
16.91504070213173,-0.061538891724018066,36.08425650373748,1.0816350852578176,61.87100855206895,50.0,0,20,21,2.0,15,50,1.0,5.0
14.676791384336411,-0.07102541076740843,32.73535270669203,1.139097803199749,59.16986183932015,60.0,0,30,14,3.0,15,50,1.0,5.0
14.901139241924628,-0.08062531926591636,37.42931501194112,1.0707083186267627,60.756040719581776,70.0,0,20,28,2.0,15,50,1.0,5.0
11.307954740140275,-0.08645597410456898,37.136216553505975,1.0727586291611466,61.43718466778415,50.0,0,15,28,2.0,15,50,1.0,5.0
21.78283716510355,-0.09248240188271636,34.12271231347289,1.0906815243804062,61.868481319025264,60.0,0,20,21,2.5,15,50,1.0,5.0
16.789402711791578,-0.0975959430092618,34.784867811212024,1.081828572328159,60.63850273691734,60.0,0,15,21,2.5,15,50,1.0,5.0
11.087203384134487,-0.09798666572165758,36.42986122407182,1.0721194748073326,63.664310187599916,60.0,0,15,21,2.0,15,50,1.0,5.0
15.615533973997083,-0.10900583003961987,33.740713843910825,1.0838748159936509,62.95494878999889,60.0,0,15,14,2.5,15,50,1.0,5.0
6.43494705429868,-0.11106765120452318,35.66593409400733,1.0615446723041448,63.921009658410036,50.0,0,25,21,2.0,15,50,1.0,5.0
7.648750337839951,-0.11631678147815687,33.01627324908613,1.0827606068285889,59.6443952595356,40.0,0,15,21,3.0,15,50,1.0,5.0
19.895487384695443,-0.14252859739909224,32.81310085807153,1.1425756479970397,62.57222349322855,60.0,0,30,21,3.0,15,50,1.0,5.0
-1.063782232679261,-0.14698326995190444,32.29801228413637,1.05126519129641,60.67943876420984,50.0,0,15,14,3.0,15,50,1.0,5.0
15.006010676833636,-0.147418287635484,35.31307911600512,1.0749095468448544,64.09864852099037,40.0,0,20,14,2.0,15,50,1.0,5.0
6.285130169226521,-0.15299220058261126,34.220667111931,1.0596113830935434,62.28918234532208,50.0,0,30,21,2.5,15,50,1.0,5.0
2.4175171697533937,-0.1547423483201465,36.65557425834266,1.0494923423513547,62.20100683428482,50.0,0,25,28,2.0,15,50,1.0,5.0
12.2856023842015,-0.15816462486689734,33.3061515792259,1.0718741112335484,61.40130498711458,50.0,0,25,14,3.0,15,50,1.0,5.0
8.391110012613604,-0.16250644459476613,33.12737379735512,1.0683708176148672,62.020372031653196,50.0,0,20,14,2.5,15,50,1.0,5.0
21.127178615678304,-0.16913225906115478,34.702184822887645,1.0680923039738086,65.08696926711062,50.0,0,25,14,2.0,15,50,1.0,5.0
7.070343282824328,-0.19076548497181392,35.03136721239369,1.0574637965388705,63.4515926279827,50.0,0,15,14,2.0,15,50,1.0,5.0
-6.4835695982913375,-0.19180445562787882,33.455876179220844,1.0434060256684679,64.19610426655808,50.0,0,25,14,2.5,15,50,1.0,5.0
19.20578208360296,-0.19350431027868872,34.47318240731612,1.0730326450468657,64.25327048893249,50.0,0,25,21,2.5,15,50,1.0,5.0
-5.2406632857865505,-0.21401270546109266,32.24267784024459,1.0468325402921226,62.41286177993277,40.0,0,25,21,3.0,15,50,1.0,5.0
-13.847960474768588,-0.22859873083037568,32.38144303418618,1.0237250696609181,62.884396507199234,40.0,0,20,21,3.0,15,50,1.0,5.0
4.957189071399059,-0.2290799683003287,34.43678934164478,1.0439641958019545,64.99011813777447,40.0,0,30,14,2.0,15,50,1.0,5.0
1.8292111160551727,-0.23028094344309444,33.38978550574714,1.0483764043609045,64.21663579536023,50.0,0,30,14,2.5,15,50,1.0,5.0
-8.775517858536379,-0.2399093064957661,31.46197638295107,1.0201609089410226,64.9340834177548,50.0,0,20,14,3.0,15,50,1.0,5.0
