avg_return,avg_sharpe,avg_win_rate,avg_profit_factor,avg_max_drawdown,consistency_rate,moon_dev_score,atr_length,upper_multiplier,lower_multiplier,ma_length,ma_type,stop_loss_percent
32.3158997808354,-0.005157494667970918,36.2262034460585,1.110514248668109,60.223124962596216,30.0,0,14,2.0,3.0,10,EMA,5.0
10.761946173345175,-0.03621229120805765,36.68585623800686,1.0653625043827462,53.268346191680415,30.0,0,14,1.5,3.0,10,EMA,5.0
7.288772993773064,-0.07501229703653764,36.71772341377779,1.0940178317803717,55.311728025601994,50.0,0,10,2.0,4.0,10,EMA,5.0
-4.251023752857937,-0.1228676241852477,35.435335994849524,1.0407788862042573,52.91649757847091,40.0,0,7,1.5,4.0,10,EMA,5.0
41.37847024938645,-0.14087029998851017,34.87401600668128,1.0818836768490832,59.61548180717595,40.0,0,7,2.0,3.0,10,EMA,5.0
6.3201303677098135,-0.14692573626834102,35.25013316021777,1.0690966538669857,60.179911488127345,40.0,0,10,2.0,3.0,10,EMA,5.0
-10.467643293228724,-0.20141860555470723,36.01433099641632,0.996053054324841,45.720356418883014,40.0,0,14,1.0,4.0,10,EMA,5.0
-8.646983776867861,-0.20319805571025246,37.27633765610134,1.021262095024894,49.452331580726735,30.0,0,14,1.5,4.0,10,EMA,5.0
-11.5512712665902,-0.21179461955190243,35.68593685560951,1.0146654080624689,59.309838016481,40.0,0,7,2.0,4.0,10,EMA,5.0
-5.144390232538532,-0.21450683490971895,34.84823702543848,1.0193757501697944,58.51111779072106,30.0,0,7,1.5,3.0,10,EMA,5.0
-9.470833872796637,-0.22708695310582092,36.109258348525685,1.0161343420506925,53.39692279514177,40.0,0,10,1.5,4.0,10,EMA,5.0
-15.945062130182794,-0.2519621366462651,35.00378121296125,1.0073215419213066,63.117549116066,20.0,0,14,2.0,2.0,10,EMA,5.0
-1.216088439526543,-0.2702719254240734,34.45786627519776,1.0013723720569871,58.37465840136459,20.0,0,10,1.5,3.0,10,EMA,5.0
-8.810661984931237,-0.2801976350652037,34.993607745843505,1.0087686559874582,54.97842401108694,40.0,0,14,2.0,4.0,10,EMA,5.0
-18.8484411989155,-0.34142542213878807,35.6669430848132,0.9591192355975477,52.634990795735824,30.0,0,14,1.0,3.0,10,EMA,5.0
-32.00916487374893,-0.3805581984585259,35.283802833682714,0.9470223200197421,56.65090182010509,20.0,0,7,1.0,3.0,10,EMA,5.0
-31.009308950876385,-0.40267413389538087,34.61845112790355,0.9322412443836127,53.86668866694474,20.0,0,7,1.0,4.0,10,EMA,5.0
-30.65055449649997,-0.4334787704870477,35.10726803643096,0.9332871548740259,56.10603327897883,20.0,0,10,1.0,3.0,10,EMA,5.0
-31.491186084820566,-0.4603701541534246,35.20833211336456,0.9105280652780392,49.84379423733531,10.0,0,10,1.0,4.0,10,EMA,5.0
-34.29001154526184,-0.5097765462235795,33.31808564130825,0.9122749985379655,65.48021019125162,20.0,0,10,2.0,2.0,10,EMA,5.0
-43.137614644020935,-0.5291249248342149,34.074123998871165,0.9278976460579619,68.73037255552183,10.0,0,14,1.5,2.0,10,EMA,5.0
-39.03728690303119,-0.5318006577239301,33.03116134795501,0.9163507494160482,64.46978165052424,10.0,0,10,1.5,2.0,10,EMA,5.0
-48.09822444226944,-0.5867413873969917,32.93480416719355,0.9092112626764065,68.41107827958913,0.0,0,7,1.5,2.0,10,EMA,5.0
-48.267244931416215,-0.5950493861245408,33.442188796512404,0.9147354480179454,68.24923151168561,0.0,0,14,1.0,2.0,10,EMA,5.0
-41.17538904677201,-0.6327869916509151,33.22418389163579,0.918298722701417,68.47148877299121,10.0,0,10,1.0,2.0,10,EMA,5.0
-47.6548791092182,-0.6691954720538802,33.26447950131238,0.8981245704920925,65.1626352465668,0.0,0,7,1.0,2.0,10,EMA,5.0
-38.42631970383171,-0.6918631822621726,32.93345176764395,0.8943661730314867,69.4621805951858,20.0,0,7,2.0,2.0,10,EMA,5.0
